id,date,added,archived,category,geography,evidence,title,source,sourceUrl,keyFinding,takeaways,extra_json
1,2023-03-17,2026-04-30,,labor,us,,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models,"Eloundou, Manning, Mishkin & Rock — OpenAI / University of Pennsylvania",https://arxiv.org/abs/2303.10130,"Around 80% of U.S. workers could have at least 10% of their tasks affected by LLMs, with higher-wage cognitive jobs facing the greatest exposure, inverting prior automation patterns.","Approximately 19% of workers may see 50%+ of their tasks affected, concentrated in professional and managerial occupations rather than routine blue-collar roles.
Unlike previous automation waves, LLM exposure peaks at the top of the wage distribution, writers, programmers, financial analysts.
Tasks involving complex writing, coding, and information synthesis score highest on GPT exposure, suggesting white-collar disruption precedes displacement.",
2,2024-01-15,2026-04-30,,labor,us,,New Data Show No AI Jobs Apocalypse — For Now,Brookings Institution,https://www.brookings.edu/articles/new-data-show-no-ai-jobs-apocalypse-for-now/,"Early labor market data shows AI is accelerating task reallocation rather than immediate job destruction, but wage bifurcation between AI-skilled and unskilled workers is already visible.","Job postings requiring AI skills grew 3.5× faster than overall postings in 2023, signaling rapid demand-side restructuring toward AI-complementary roles.
Workers who adopt AI tools show a 14–40% individual productivity boost in controlled studies, but gains concentrate in already high-wage occupations.
Emerging 'AI premiums' in starting salaries (11–25% above equivalent roles) risk entrenching a two-tier labor market within professional services.",
3,2023-07-12,2026-04-30,,workers,us,,Writers Strike 2023: AI Provisions and What They Mean for Contracts,Writers Guild of America,https://www.wga.org/contracts/know-your-rights/artificial-intelligence,"The WGA/SAG-AFTRA strikes established the first major collectively bargained AI guardrails in a creative industry, setting a replicable precedent for labor-AI contract language.","The final WGA agreement prohibits AI-generated scripts from undermining writer minimums or stripping residuals, creating enforceable contractual floors.
Studios had proposed using AI for 'first drafts' that writers polish, a model unions argued would eliminate entry-level positions over a single contract cycle.
The strike demonstrated collective action can translate diffuse AI anxieties into specific, auditable contract terms now studied by healthcare and tech unions.",
4,2024-02-08,2026-04-30,,workers,us,,Unionization Rates in Tech: Structural Barriers in the AI Era,Cornell ILR School,https://www.ilr.cornell.edu/worker-institute/research,"Tech sector union density remains below 5% despite rising AI-related job insecurity, driven by contractor misclassification, geographic dispersion, and hostile employer practices.","Contractor misclassification — affecting ~40% of the tech workforce — substantially depresses formal union eligibility under current NLRA coverage rules.
Remote-first work has fractured traditional solidarity mechanisms, making organizing 30–50% more costly per worker reached than pre-pandemic.
Tech workers are significantly more likely to sign open letters and protest than to pursue NLRB elections, reflecting structural constraints rather than apathy.",
5,2024-03-19,2026-04-30,,corporate,us,,Big Tech Merger Tracker: FTC Enforcement and AI Market Consolidation,American Economic Liberties Project,https://www.economicliberties.us/big-tech-merger-tracker/,"Major cloud providers have captured AI infrastructure through acquisitions, exclusive compute agreements, and minority investments that existing antitrust frameworks are ill-equipped to address.","Microsoft, Google, and Amazon collectively control over 65% of cloud compute used for AI training and inference, creating hard dependencies for downstream companies.
Minority investment structures (Microsoft/OpenAI, Amazon/Anthropic) allow effective control without triggering standard HSR merger notification thresholds.
FTC challenges revealed limits of traditional merger review: data moats, talent lock-in, and API dependency chains fall outside conventional competitive harm analysis.",
6,2023-11-30,2026-04-30,,corporate,us,,Foundation Model Concentration and API Dependency: Systemic Risk in AI Supply Chains,Georgetown CSET,https://cset.georgetown.edu/publications/,Dependence on a handful of foundation model APIs is creating single points of failure and structural information asymmetries throughout the AI product ecosystem.,"Over 70% of AI startups surveyed rely on one of three foundation model providers, creating pricing and policy risk comparable to historical utility lock-in.
Model providers control fine-tuning access and usage data, giving them structural intelligence advantages over applications built on their APIs.
A single terms-of-service change could render entire downstream product categories non-viable within days, with limited contractual recourse.",
7,2023-09-14,2026-04-30,,surveillance,us,,Algorithmic Management and Worker Surveillance: Evidence from Warehouse Logistics,MIT Work of the Future,https://dl.acm.org/doi/10.1145/3757409,AI-driven performance management in warehouses increased throughput by 18% while simultaneously raising injury rates and voluntary turnover by 34%.,"Algorithmic target systems create a 'ratchet effect': as workers adapt to baselines, the AI raises them, leaving no sustainable steady state.
Workers under algorithmic management report 2.3× higher rates of musculoskeletal injuries and psychological stress than those under traditional supervisors.
Workers lack visibility into how scores are calculated, closing off both informal appeals and formal legal challenge pathways.",
8,2021-07-06,2026-04-30,,hiring,us,,Essential Work: Analyzing the Hiring Technologies of Large Hourly Employers,Upturn,https://www.upturn.org/work/essential-work/,"An analysis of the hiring technologies used by large hourly employers, documenting how applicant tracking systems, assessments, and availability filters screen workers out before any human review, and how little transparency applicants receive about automated rejection.","Large hourly employers route nearly all applications through automated screening before human review, making the configuration of these tools a de facto hiring policy.
Availability filters, assessments, and knockout questions reject qualified applicants for reasons unrelated to job performance.
Applicants receive little transparency about why they were screened out, leaving no practical route to contest automated rejections.",
9,2024-04-24,2026-04-30,,equity,us,,Improving Mortgage Underwriting Outcomes for Protected Classes Through Distribution Matching,National Fair Housing Alliance,https://nationalfairhousing.org/resource/improving-mortgage-underwriting-and-pricing-outcomes-for-protected-classes-through-distribution-matching/,"A distribution-matching method applied to AI mortgage underwriting models can increase approval rates for Black and Hispanic applicants by 5–13% without reducing lender profitability, demonstrating that fair lending outcomes and model performance are not in conflict.","Models trained on historical data encoded decades of discriminatory lending geography; their opacity made denial reasons impossible for applicants to understand or challenge.
A shift toward 'intent'-based legal standards would effectively immunize algorithmic discrimination from ECOA disparate-impact challenge.
Lenders deploying third-party AI tools reported lacking access to model internals needed to conduct HMDA disparate impact analysis required by federal regulation.",
10,2023-10-05,2026-04-30,,equity,intl,,Gender Gaps in AI Tool Adoption and the Emerging Productivity Divide,World Economic Forum,https://www.weforum.org/publications/the-global-gender-gap-report-2023/,"Women are adopting generative AI tools at measurably lower rates than men across professional contexts globally, compounding existing gender wage gaps through a new productivity channel.","Across 15 countries, men are 1.5× more likely to report regular AI tool use for professional tasks, driven by differential access, confidence gaps, and unequal encouragement.
Women in highest AI-exposure occupations — administrative, customer service — receive less employer-sponsored AI training than men in equivalent roles.
Without targeted intervention, WEF projects the gender productivity gap could widen by 8–12 percentage points in knowledge-intensive sectors by 2030.",
